Modified_enzyme,Core_enzyme,Modifications,Source
VC_1985-MONOMER_mod_mg2(1),VC_1985-MONOMER,mg2(1),Homology
VC_2003-MONOMER_mod_zn2(2),VC_2003-MONOMER,zn2(2),Homology
VC_2008-MONOMER_mod_mg2(1)_mod_k(1),VC_2008-MONOMER,mg2(1) AND k(1),Homology
VC_2008-MONOMER_mod_mn2(1)_mod_k(1),VC_2008-MONOMER,mn2(1) AND k(1),Homology
VC_2016-MONOMER_mod_mg2(1),VC_2016-MONOMER,mg2(1),Homology
VC_2018-MONOMER_mod_pydx5p(1),VC_2018-MONOMER,pydx5p(1),Homology
VC_2020-MONOMER_mod_pan4p(1),VC_2020-MONOMER,pan4p(1),Homology
VC_2020-MONOMER_mod_pan4p(1)_mod_ac(1),VC_2020-MONOMER,pan4p(1) AND ac(1),Homology
VC_2020-MONOMER_mod_pan4p(1)_mod_mal(1),VC_2020-MONOMER,pan4p(1) AND mal(1),Homology
VC_2020-MONOMER_mod_pan4p(1)_mod_but2e(1),VC_2020-MONOMER,pan4p(1) AND but2e(1),Homology
VC_2020-MONOMER_mod_pan4p(1)_mod_act(1),VC_2020-MONOMER,pan4p(1) AND act(1),Homology
VC_2020-MONOMER_mod_pan4p(1)_mod_but(1),VC_2020-MONOMER,pan4p(1) AND but(1),Homology
VC_2020-MONOMER_mod_pan4p(1)_mod_3ha(1),VC_2020-MONOMER,pan4p(1) AND 3ha(1),Homology
VC_2020-MONOMER_mod_pan4p(1)_mod_egme(1),VC_2020-MONOMER,pan4p(1) AND egme(1),Homology
VC_2020-MONOMER_mod_pan4p(1)_mod_ogme(1),VC_2020-MONOMER,pan4p(1) AND ogme(1),Homology
VC_2020-MONOMER_mod_pan4p(1)_mod_gme(1),VC_2020-MONOMER,pan4p(1) AND gme(1),Homology
VC_2020-MONOMER_mod_pan4p(1)_mod_hgme(1),VC_2020-MONOMER,pan4p(1) AND hgme(1),Homology
VC_2020-MONOMER_mod_pan4p(1)_mod_thex2e(1),VC_2020-MONOMER,pan4p(1) AND thex2e(1),Homology
VC_2020-MONOMER_mod_pan4p(1)_mod_3ohex(1),VC_2020-MONOMER,pan4p(1) AND 3ohex(1),Homology
VC_2020-MONOMER_mod_pan4p(1)_mod_hex(1),VC_2020-MONOMER,pan4p(1) AND hex(1),Homology
VC_2020-MONOMER_mod_pan4p(1)_mod_3hhex(1),VC_2020-MONOMER,pan4p(1) AND 3hhex(1),Homology
VC_2020-MONOMER_mod_pan4p(1)_mod_pim(1),VC_2020-MONOMER,pan4p(1) AND pim(1),Homology
VC_2020-MONOMER_mod_pan4p(1)_mod_epme(1),VC_2020-MONOMER,pan4p(1) AND epme(1),Homology
VC_2020-MONOMER_mod_pan4p(1)_mod_opme(1),VC_2020-MONOMER,pan4p(1) AND opme(1),Homology
VC_2020-MONOMER_mod_pan4p(1)_mod_pme(1),VC_2020-MONOMER,pan4p(1) AND pme(1),Homology
VC_2020-MONOMER_mod_pan4p(1)_mod_hpme(1),VC_2020-MONOMER,pan4p(1) AND hpme(1),Homology
VC_2020-MONOMER_mod_pan4p(1)_mod_toct2e(1),VC_2020-MONOMER,pan4p(1) AND toct2e(1),Homology
VC_2020-MONOMER_mod_pan4p(1)_mod_3ooct(1),VC_2020-MONOMER,pan4p(1) AND 3ooct(1),Homology
VC_2020-MONOMER_mod_pan4p(1)_mod_oc(1),VC_2020-MONOMER,pan4p(1) AND oc(1),Homology
VC_2020-MONOMER_mod_pan4p(1)_mod_3hoct(1),VC_2020-MONOMER,pan4p(1) AND 3hoct(1),Homology
VC_2020-MONOMER_mod_pan4p(1)_mod_tdec2e(1),VC_2020-MONOMER,pan4p(1) AND tdec2e(1),Homology
VC_2020-MONOMER_mod_pan4p(1)_mod_cdec3e(1),VC_2020-MONOMER,pan4p(1) AND cdec3e(1),Homology
