Proteins	Genes of polypeptide, complex, or RNA	Common-Name	Locations
USA300HOU_RS00430-MONOMER	USA300HOU_RS00430	metal-sensitive transcriptional regulator	CCI-CYTOSOL-GP
USA300HOU_RS00320-MONOMER	USA300HOU_RS00320	arginine-ornithine antiporter	CCI-PM-BAC-POS-GP
USA300HOU_RS07900-MONOMER	USA300HOU_RS07900	hypothetical protein	
USA300HOU_RS07155-MONOMER	USA300HOU_RS07155	acylphosphatase	CCI-CYTOSOL-GP
USA300HOU_RS03975-MONOMER	USA300HOU_RS03975	iron ABC transporter permease	CCI-PM-BAC-POS-GP
USA300HOU_RS02780-MONOMER	USA300HOU_RS02780	glutamate--tRNA ligase	CCI-CYTOSOL-GP
USA300HOU_RS11600-MONOMER	USA300HOU_RS11600	resolvase	CCI-CYTOSOL-GP
USA300HOU_RS01415-MONOMER	USA300HOU_RS01415	LacI family transcriptional regulator	CCI-CYTOSOL-GP
USA300HOU_RS08180-MONOMER	USA300HOU_RS08180	membrane protein	CCI-PM-BAC-POS-GP
USA300HOU_RS07795-MONOMER	USA300HOU_RS07795	hypothetical protein	
USA300HOU_RS00670-MONOMER	USA300HOU_RS00670	hypothetical protein	CCI-PM-BAC-POS-GP
USA300HOU_RS01460-MONOMER	USA300HOU_RS01460	ABC transporter permease	CCI-PM-BAC-POS-GP
USA300HOU_RS09865-MONOMER	USA300HOU_RS09865	DUF445 domain-containing protein	CCI-PM-BAC-POS-GP
USA300HOU_RS10640-MONOMER	USA300HOU_RS10640	hypothetical protein	CCI-CYTOSOL-GP
USA300HOU_RS06110-MONOMER	USA300HOU_RS06110	methionyl-tRNA formyltransferase	CCI-CYTOSOL-GP
USA300HOU_RS11590-MONOMER	USA300HOU_RS11590	lytic regulatory protein	CCI-PM-BAC-POS-GP
USA300HOU_RS03795-MONOMER	USA300HOU_RS03795	HlyC/CorC family transporter	CCI-PM-BAC-POS-GP
USA300HOU_RS11975-MONOMER	USA300HOU_RS11975	hypothetical protein	CCI-PM-BAC-POS-GP
USA300HOU_RS00930-MONOMER	USA300HOU_RS00930	DUF2294 domain-containing protein	
USA300HOU_RS07950-MONOMER	USA300HOU_RS07950	hypothetical protein	
USA300HOU_RS01515-MONOMER	USA300HOU_RS01515	protein EsaC	CCI-CYTOSOL-GP
USA300HOU_RS09215-MONOMER	USA300HOU_RS09215	catabolite control protein A	CCI-CYTOSOL-GP
USA300HOU_RS09630-MONOMER	USA300HOU_RS09630	serine protease SplF	CCI-EXTRACELLULAR-GP
USA300HOU_RS02950-MONOMER	USA300HOU_RS02950	MSCRAMM family adhesin SdrD	CCI-CW-BAC-POS-GP
USA300HOU_RS02410-MONOMER	USA300HOU_RS02410	N-acetyltransferase	CCI-CYTOSOL-GP
USA300HOU_RS06690-MONOMER	USA300HOU_RS06690	low specificity L-threonine aldolase	CCI-CYTOSOL-GP
USA300HOU_RS09885-MONOMER	USA300HOU_RS09885	RluA family pseudouridine synthase	CCI-CYTOSOL-GP
USA300HOU_RS06465-MONOMER	USA300HOU_RS06465	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase	CCI-PM-BAC-POS-GP
USA300HOU_RS14525-MONOMER	USA300HOU_RS14525	imidazole glycerol phosphate synthase subunit HisH	CCI-CYTOSOL-GP
USA300HOU_RS12540-MONOMER	USA300HOU_RS12540	amino acid permease	CCI-PM-BAC-POS-GP
USA300HOU_RS03870-MONOMER	USA300HOU_RS03870	allophanate hydrolase	
USA300HOU_RS13070-MONOMER	USA300HOU_RS13070	2,3-bisphosphoglycerate-dependent phosphoglycerate mutase	
USA300HOU_RS08210-MONOMER	USA300HOU_RS08210	shikimate kinase	CCI-CYTOSOL-GP
USA300HOU_RS07545-MONOMER	USA300HOU_RS07545	ribosome biogenesis GTPase Der	CCI-PM-BAC-POS-GP
USA300HOU_RS03490-MONOMER	USA300HOU_RS03490	hypothetical protein	
USA300HOU_RS10630-MONOMER	USA300HOU_RS10630	phage tail protein	
USA300HOU_RS04920-MONOMER	USA300HOU_RS04920	ABC transporter ATP-binding protein	CCI-PM-BAC-POS-GP
USA300HOU_RS01695-MONOMER	USA300HOU_RS01695	histidine transporter	CCI-PM-BAC-POS-GP
USA300HOU_RS04020-MONOMER	USA300HOU_RS04020	peptidase T	CCI-CYTOSOL-GP
USA300HOU_RS06875-MONOMER	USA300HOU_RS06875	acyl-CoA thioesterase	CCI-CYTOSOL-GP
USA300HOU_RS00085-MONOMER	USA300HOU_RS00085	adenylosuccinate synthetase	CCI-CYTOSOL-GP
USA300HOU_RS08615-MONOMER	USA300HOU_RS08615	alanine--tRNA ligase	CCI-CYTOSOL-GP
USA300HOU_RS07275-MONOMER	USA300HOU_RS07275	peptide-methionine (R)-S-oxide reductase	CCI-CYTOSOL-GP
USA300HOU_RS14080-MONOMER	USA300HOU_RS14080	pantoate--beta-alanine ligase	CCI-CYTOSOL-GP
USA300HOU_RS07850-MONOMER	USA300HOU_RS07850	hypothetical protein	CCI-CYTOSOL-GP
USA300HOU_RS13440-MONOMER	USA300HOU_RS13440	DUF1413 domain-containing protein	CCI-CYTOSOL-GP
USA300HOU_RS05545-MONOMER	USA300HOU_RS05545	hypothetical protein	
USA300HOU_RS14125-MONOMER	USA300HOU_RS14125	class I fructose-bisphosphate aldolase	
USA300HOU_RS08875-MONOMER	USA300HOU_RS08875	hypothetical protein	
USA300HOU_RS13970-MONOMER	USA300HOU_RS13970	glyoxalase	CCI-CYTOSOL-GP
USA300HOU_RS05605-MONOMER	USA300HOU_RS05605	hypothetical protein	CCI-CYTOSOL-GP
USA300HOU_RS00575-MONOMER	USA300HOU_RS00575	L-lactate permease	CCI-PM-BAC-POS-GP
USA300HOU_RS02740-MONOMER	USA300HOU_RS02740	pyrimidine nucleoside transporter NupC	CCI-PM-BAC-POS-GP
USA300HOU_RS03095-MONOMER	USA300HOU_RS03095	phosphomevalonate kinase	CCI-CYTOSOL-GP
USA300HOU_RS02925-MONOMER	USA300HOU_RS02925	deoxynucleoside kinase	CCI-CYTOSOL-GP
USA300HOU_RS06030-MONOMER	USA300HOU_RS06030	aspartate carbamoyltransferase	CCI-CYTOSOL-GP
USA300HOU_RS09385-MONOMER	USA300HOU_RS09385	6,7-dimethyl-8-ribityllumazine synthase	CCI-CYTOSOL-GP
USA300HOU_RS06975-MONOMER	USA300HOU_RS06975	indole-3-glycerol-phosphate synthase	CCI-CYTOSOL-GP
USA300HOU_RS12780-MONOMER	USA300HOU_RS12780	DNA-binding response regulator	CCI-CYTOSOL-GP
USA300HOU_RS12230-MONOMER	USA300HOU_RS12230	hypothetical protein	CCI-PM-BAC-POS-GP
USA300HOU_RS00855-MONOMER	USA300HOU_RS00855	glycosyltransferase WbuB	CCI-CYTOSOL-GP
USA300HOU_RS03265-MONOMER	USA300HOU_RS03265	hypothetical protein	CCI-PM-BAC-POS-GP
USA300HOU_RS08915-MONOMER	USA300HOU_RS08915	threonine--tRNA ligase	CCI-CYTOSOL-GP
USA300HOU_RS03940-MONOMER	USA300HOU_RS03940	EamA/RhaT family transporter	CCI-PM-BAC-POS-GP
USA300HOU_RS03345-MONOMER	USA300HOU_RS03345	hypothetical protein	
USA300HOU_RS02605-MONOMER	USA300HOU_RS02605	RNA-binding protein S1	CCI-CYTOSOL-GP
USA300HOU_RS01085-MONOMER	USA300HOU_RS01085	M23 family peptidase	CCI-EXTRACELLULAR-GP
USA300HOU_RS08215-MONOMER	USA300HOU_RS08215	hypothetical protein	
USA300HOU_RS01055-MONOMER	USA300HOU_RS01055	ABC transporter permease	
USA300HOU_RS03100-MONOMER	USA300HOU_RS03100	DUF1450 domain-containing protein	
USA300HOU_RS00050-MONOMER	USA300HOU_RS00050	branched-chain amino acid ABC transporter permease	CCI-PM-BAC-POS-GP
USA300HOU_RS08220-MONOMER	USA300HOU_RS08220	competence protein ComGF	
USA300HOU_RS00640-MONOMER	USA300HOU_RS00640	siderophore biosynthesis PLP-dependent protein	CCI-CYTOSOL-GP
USA300HOU_RS14595-MONOMER	USA300HOU_RS14595	rhodanese domain-containing protein	CCI-CYTOSOL-GP
USA300HOU_RS00755-MONOMER	USA300HOU_RS00755	phosphate/phosphite/phosphonate ABC transporter substrate-binding protein	
USA300HOU_RS06365-MONOMER	USA300HOU_RS06365	proline--tRNA ligase	CCI-CYTOSOL-GP
USA300HOU_RS02805-MONOMER	USA300HOU_RS02805	NYN domain-containing protein	CCI-CYTOSOL-GP
USA300HOU_RS01835-MONOMER	USA300HOU_RS01835	twin-arginine translocase subunit TatC	
USA300HOU_RS14075-MONOMER	USA300HOU_RS14075	aspartate 1-decarboxylase	
USA300HOU_RS02510-MONOMER	USA300HOU_RS02510	TatD family deoxyribonuclease	CCI-CYTOSOL-GP
USA300HOU_RS07510-MONOMER	USA300HOU_RS07510	nucleoside-diphosphate kinase	CCI-CYTOSOL-GP
USA300HOU_RS11185-MONOMER	USA300HOU_RS11185	holo-ACP synthase	CCI-CYTOSOL-GP
USA300HOU_RS03910-MONOMER	USA300HOU_RS03910	histidinol-phosphate aminotransferase	
USA300HOU_RS06140-MONOMER	USA300HOU_RS06140	ribulose-phosphate 3-epimerase	CCI-CYTOSOL-GP
USA300HOU_RS09510-MONOMER	USA300HOU_RS09510	S9 family peptidase	
USA300HOU_RS04050-MONOMER	USA300HOU_RS04050	hypothetical protein	CCI-CYTOSOL-GP
USA300HOU_RS10650-MONOMER	USA300HOU_RS10650	phage head-tail adapter protein	CCI-CYTOSOL-GP
USA300HOU_RS12415-MONOMER	USA300HOU_RS12415	HTH-type transcriptional regulator SarR	CCI-CYTOSOL-GP
USA300HOU_RS04115-MONOMER	USA300HOU_RS04115	HPr kinase/phosphorylase	CCI-CYTOSOL-GP
USA300HOU_RS14630-MONOMER	USA300HOU_RS14630	DNA-binding protein	CCI-CYTOSOL-GP
USA300HOU_RS05500-MONOMER	USA300HOU_RS05500	spermidine/putrescine ABC transporter substrate-binding protein	
USA300HOU_RS01920-MONOMER	USA300HOU_RS01920	DUF951 domain-containing protein	CCI-CYTOSOL-GP
USA300HOU_RS02820-MONOMER	USA300HOU_RS02820	transcription termination/antitermination protein NusG	CCI-CYTOSOL-GP
USA300HOU_RS06815-MONOMER	USA300HOU_RS06815	LexA repressor	CCI-CYTOSOL-GP
USA300HOU_RS04625-MONOMER	USA300HOU_RS04625	D-alanyl-lipoteichoic acid biosynthesis protein DltB	CCI-PM-BAC-POS-GP
USA300HOU_RS04665-MONOMER	USA300HOU_RS04665	NADH dehydrogenase	CCI-PM-BAC-POS-GP
USA300HOU_RS01270-MONOMER	USA300HOU_RS01270	PRD domain-containing protein	CCI-CYTOSOL-GP
USA300HOU_RS14415-MONOMER	USA300HOU_RS14415	accessory Sec system protein translocase subunit SecY2	CCI-PM-BAC-POS-GP
USA300HOU_RS03955-MONOMER	USA300HOU_RS03955	class 1b ribonucleoside-diphosphate reductase subunit beta	CCI-CYTOSOL-GP
USA300HOU_RS15250-MONOMER	USA300HOU_RS15250	acyltransferase	
USA300HOU_RS14495-MONOMER	USA300HOU_RS14495	poly-beta-1,6-N-acetyl-D-glucosamine export protein	CCI-PM-BAC-POS-GP
USA300HOU_RS10490-MONOMER	USA300HOU_RS10490	phenol-soluble modulin export ABC transporter permease subunit PmtB	CCI-PM-BAC-POS-GP
USA300HOU_RS13095-MONOMER	USA300HOU_RS13095	bi-component gamma-hemolysin HlgAB subunit A	CCI-EXTRACELLULAR-GP
USA300HOU_RS03610-MONOMER	USA300HOU_RS03610	MarR family transcriptional regulator	
USA300HOU_RS05525-MONOMER	USA300HOU_RS05525	inositol monophosphatase	CCI-CYTOSOL-GP
USA300HOU_RS10110-MONOMER	USA300HOU_RS10110	glutamate-1-semialdehyde 2,1-aminomutase	CCI-CYTOSOL-GP
USA300HOU_RS13180-MONOMER	USA300HOU_RS13180	membrane protein	
USA300HOU_RS08120-MONOMER	USA300HOU_RS08120	DNA repair protein RecN	CCI-CYTOSOL-GP
USA300HOU_RS04760-MONOMER	USA300HOU_RS04760	glycerophosphodiester phosphodiesterase	
USA300HOU_RS08440-MONOMER	USA300HOU_RS08440	coproporphyrinogen III oxidase	CCI-CYTOSOL-GP
USA300HOU_RS11505-MONOMER	USA300HOU_RS11505	DUF2750 domain-containing protein	CCI-CYTOSOL-GP
USA300HOU_RS01100-MONOMER	USA300HOU_RS01100	sugar ABC transporter permease	CCI-PM-BAC-POS-GP
USA300HOU_RS12015-MONOMER	USA300HOU_RS12015	50S ribosomal protein L13	CCI-RIBOSOME-GP
USA300HOU_RS01350-MONOMER	USA300HOU_RS01350	sensor histidine kinase	
USA300HOU_RS12805-MONOMER	USA300HOU_RS12805	L-lactate permease	CCI-PM-BAC-POS-GP
USA300HOU_RS04930-MONOMER	USA300HOU_RS04930	ABC transporter permease	CCI-PM-BAC-POS-GP
USA300HOU_RS03950-MONOMER	USA300HOU_RS03950	class 1b ribonucleoside-diphosphate reductase subunit alpha	CCI-CYTOSOL-GP
USA300HOU_RS13845-MONOMER	USA300HOU_RS13845	ferrous iron transporter A	CCI-CYTOSOL-GP
USA300HOU_RS10330-MONOMER	USA300HOU_RS10330	sodium:proline symporter	CCI-PM-BAC-POS-GP
USA300HOU_RS12445-MONOMER	USA300HOU_RS12445	hypothetical protein	CCI-PM-BAC-POS-GP
USA300HOU_RS11245-MONOMER	USA300HOU_RS11245	D-alanine--D-alanine ligase	CCI-CYTOSOL-GP
USA300HOU_RS14370-MONOMER	USA300HOU_RS14370	N-acetylmuramoyl-L-alanine amidase	CCI-EXTRACELLULAR-GP
USA300HOU_RS11520-MONOMER	USA300HOU_RS11520	S-ribosylhomocysteine lyase	CCI-CYTOSOL-GP
USA300HOU_RS10515-MONOMER	USA300HOU_RS10515	hypothetical protein	CCI-CYTOSOL-GP
USA300HOU_RS06765-MONOMER	USA300HOU_RS06765	Cof-type HAD-IIB family hydrolase	CCI-CYTOSOL-GP
USA300HOU_RS14850-MONOMER	USA300HOU_RS14850	DNA-binding response regulator	
USA300HOU_RS10315-MONOMER	USA300HOU_RS10315	Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase GatCAB subunit B	CCI-CYTOSOL-GP
USA300HOU_RS07265-MONOMER	USA300HOU_RS07265	hypothetical protein	
USA300HOU_RS09310-MONOMER	USA300HOU_RS09310	rRNA pseudouridine synthase	CCI-CYTOSOL-GP
USA300HOU_RS07550-MONOMER	USA300HOU_RS07550	30S ribosomal protein S1	CCI-CYTOSOL-GP
USA300HOU_RS13760-MONOMER	USA300HOU_RS13760	acyl-CoA thioesterase	CCI-CYTOSOL-GP
USA300HOU_RS08775-MONOMER	USA300HOU_RS08775	hypothetical protein	CCI-EXTRACELLULAR-GP
USA300HOU_RS01240-MONOMER	USA300HOU_RS01240	hypothetical protein	
USA300HOU_RS03690-MONOMER	USA300HOU_RS03690	hypothetical protein	
USA300HOU_RS13300-MONOMER	USA300HOU_RS13300	MFS transporter	
USA300HOU_RS12070-MONOMER	USA300HOU_RS12070	adenylate kinase	CCI-CYTOSOL-GP
USA300HOU_RS11150-MONOMER	USA300HOU_RS11150	anti-sigma B factor RsbW	
USA300HOU_RS02225-MONOMER	USA300HOU_RS02225	tandem-type lipoprotein Lpl7	CCI-CYTOSOL-GP
USA300HOU_RS04385-MONOMER	USA300HOU_RS04385	DUF1963 domain-containing protein	CCI-CYTOSOL-GP
USA300HOU_RS12865-MONOMER	USA300HOU_RS12865	magnesium transporter CorA family protein	CCI-PM-BAC-POS-GP
USA300HOU_RS12690-MONOMER	USA300HOU_RS12690	type 2 isopentenyl-diphosphate Delta-isomerase	CCI-CYTOSOL-GP
USA300HOU_RS08280-MONOMER	USA300HOU_RS08280	50S ribosomal protein L33	CCI-CYTOSOL-GP // CCI-RIBOSOME-GP
USA300HOU_RS01195-MONOMER	USA300HOU_RS01195	3-hydroxyacyl-CoA dehydrogenase	
USA300HOU_RS03835-MONOMER	USA300HOU_RS03835	7-carboxy-7-deazaguanine synthase QueE	CCI-CYTOSOL-GP
USA300HOU_RS00385-MONOMER	USA300HOU_RS00385	NAD+ synthetase	CCI-PM-BAC-POS-GP
USA300HOU_RS03740-MONOMER	USA300HOU_RS03740	hypothetical protein	
USA300HOU_RS05810-MONOMER	USA300HOU_RS05810	hypothetical protein	CCI-PM-BAC-POS-GP
USA300HOU_RS05560-MONOMER	USA300HOU_RS05560	pyruvate carboxylase	CCI-CYTOSOL-GP
USA300HOU_RS13920-MONOMER	USA300HOU_RS13920	hypothetical protein	
USA300HOU_RS02975-MONOMER	USA300HOU_RS02975	bacillithiol biosynthesis deacetylase BshB2	CCI-CYTOSOL-GP
USA300HOU_RS03075-MONOMER	USA300HOU_RS03075	phosphate acetyltransferase	CCI-CYTOSOL-GP
USA300HOU_RS08085-MONOMER	USA300HOU_RS08085	hypothetical protein	CCI-PM-BAC-POS-GP
USA300HOU_RS07890-MONOMER	USA300HOU_RS07890	DUF1108 domain-containing protein	
USA300HOU_RS00525-MONOMER	USA300HOU_RS00525	tandem-type lipoprotein	
USA300HOU_RS01565-MONOMER	USA300HOU_RS01565	TIGR01741 family protein	CCI-CYTOSOL-GP
USA300HOU_RS12250-MONOMER	USA300HOU_RS12250	VOC family protein	CCI-CYTOSOL-GP
USA300HOU_RS03220-MONOMER	USA300HOU_RS03220	hypothetical protein	
USA300HOU_RS07715-MONOMER	USA300HOU_RS07715	hypothetical protein	CCI-CYTOSOL-GP
USA300HOU_RS10595-MONOMER	USA300HOU_RS10595	hypothetical protein	CCI-CYTOSOL-GP
USA300HOU_RS08095-MONOMER	USA300HOU_RS08095	BrxA/BrxB family bacilliredoxin	CCI-CYTOSOL-GP
USA300HOU_RS05360-MONOMER	USA300HOU_RS05360	ABC transporter ATP-binding protein	CCI-PM-BAC-POS-GP
USA300HOU_RS04690-MONOMER	USA300HOU_RS04690	Na+/H+ antiporter subunit G	CCI-PM-BAC-POS-GP
USA300HOU_RS08785-MONOMER	USA300HOU_RS08785	hypothetical protein	CCI-PM-BAC-POS-GP
USA300HOU_RS02230-MONOMER	USA300HOU_RS02230	tandem-type lipoprotein Lpl8	
USA300HOU_RS07750-MONOMER	USA300HOU_RS07750	phage major capsid protein	CCI-CYTOSOL-GP
USA300HOU_RS10270-MONOMER	USA300HOU_RS10270	DUF1727 domain-containing protein	CCI-CYTOSOL-GP
USA300HOU_RS12720-MONOMER	USA300HOU_RS12720	MFS transporter	CCI-PM-BAC-POS-GP
USA300HOU_RS04525-MONOMER	USA300HOU_RS04525	cysteine desulfurase	
USA300HOU_RS07425-MONOMER	USA300HOU_RS07425	hypothetical protein	
USA300HOU_RS03600-MONOMER	USA300HOU_RS03600	hypothetical protein	CCI-PM-BAC-POS-GP
USA300HOU_RS11170-MONOMER	USA300HOU_RS11170	mRNA interferase MazF	
USA300HOU_RS08435-MONOMER	USA300HOU_RS08435	HrcA family transcriptional regulator	CCI-CYTOSOL-GP
USA300HOU_RS02175-MONOMER	USA300HOU_RS02175	restriction endonuclease subunit S	CCI-CYTOSOL-GP
USA300HOU_RS03155-MONOMER	USA300HOU_RS03155	DUF443 domain-containing protein	
USA300HOU_RS02170-MONOMER	USA300HOU_RS02170	type I restriction-modification system subunit M	CCI-CYTOSOL-GP
USA300HOU_RS06620-MONOMER	USA300HOU_RS06620	hypothetical protein	
USA300HOU_RS09460-MONOMER	USA300HOU_RS09460	hypothetical protein	CCI-PM-BAC-POS-GP
USA300HOU_RS12105-MONOMER	USA300HOU_RS12105	30S ribosomal protein S8	CCI-CYTOSOL-GP // CCI-RIBOSOME-GP
USA300HOU_RS13965-MONOMER	USA300HOU_RS13965	DUF896 domain-containing protein	
USA300HOU_RS11085-MONOMER	USA300HOU_RS11085	3-isopropylmalate dehydrogenase	CCI-CYTOSOL-GP
USA300HOU_RS01220-MONOMER	USA300HOU_RS01220	nickel ABC transporter substrate-binding protein	
USA300HOU_RS14725-MONOMER	USA300HOU_RS14725	50S ribosomal protein L34	CCI-CYTOSOL-GP // CCI-RIBOSOME-GP
USA300HOU_RS13490-MONOMER	USA300HOU_RS13490	DUF3427 domain-containing protein	
USA300HOU_RS04890-MONOMER	USA300HOU_RS04890	ABC transporter permease	CCI-PM-BAC-POS-GP
USA300HOU_RS02910-MONOMER	USA300HOU_RS02910	branched chain amino acid aminotransferase	CCI-CYTOSOL-GP
USA300HOU_RS14855-MONOMER	USA300HOU_RS14855	IS6 family transposase	CCI-CYTOSOL-GP
USA300HOU_RS10935-MONOMER	USA300HOU_RS10935	CPBP family intramembrane metalloprotease	CCI-PM-BAC-POS-GP
USA300HOU_RS13605-MONOMER	USA300HOU_RS13605	MFS transporter	CCI-PM-BAC-POS-GP
USA300HOU_RS07520-MONOMER	USA300HOU_RS07520	demethylmenaquinone methyltransferase	
USA300HOU_RS04745-MONOMER	USA300HOU_RS04745	Ornithine aminotransferase 2	CCI-CYTOSOL-GP
USA300HOU_RS05405-MONOMER	USA300HOU_RS05405	glutaredoxin family protein	
USA300HOU_RS06015-MONOMER	USA300HOU_RS06015	RluA family pseudouridine synthase	CCI-CYTOSOL-GP
USA300HOU_RS03055-MONOMER	USA300HOU_RS03055	APC family permease	CCI-PM-BAC-POS-GP
USA300HOU_RS09420-MONOMER	USA300HOU_RS09420	protein ArsC	CCI-CYTOSOL-GP
USA300HOU_RS02375-MONOMER	USA300HOU_RS02375	glutamate synthase large subunit	CCI-PM-BAC-POS-GP
USA300HOU_RS06495-MONOMER	USA300HOU_RS06495	2-oxoacid:acceptor oxidoreductase subunit alpha	CCI-CYTOSOL-GP
USA300HOU_RS00080-MONOMER	USA300HOU_RS00080	replicative DNA helicase	CCI-CYTOSOL-GP
USA300HOU_RS06480-MONOMER	USA300HOU_RS06480	ribonuclease Y	CCI-CYTOSOL-GP // CCI-PM-BAC-POS-GP
USA300HOU_RS01665-MONOMER	USA300HOU_RS01665	pyrimidine nucleoside transporter NupC	CCI-PM-BAC-POS-GP
USA300HOU_RS07225-MONOMER	USA300HOU_RS07225	hypothetical protein	
USA300HOU_RS11045-MONOMER	USA300HOU_RS11045	tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex dimerization subunit type 1 TsaB	
USA300HOU_RS09925-MONOMER	USA300HOU_RS09925	amino acid ABC transporter ATP-binding protein	
USA300HOU_RS14040-MONOMER	USA300HOU_RS14040	dihydroorotate dehydrogenase (quinone)	CCI-PM-BAC-POS-GP
USA300HOU_RS12555-MONOMER	USA300HOU_RS12555	hypothetical protein	
USA300HOU_RS05815-MONOMER	USA300HOU_RS05815	hypothetical protein	CCI-PM-BAC-POS-GP
USA300HOU_RS00045-MONOMER	USA300HOU_RS00045	serine--tRNA ligase	CCI-CYTOSOL-GP
USA300HOU_RS01480-MONOMER	USA300HOU_RS01480	CHAP domain-containing protein	CCI-EXTRACELLULAR-GP
USA300HOU_RS15020-MONOMER	USA300HOU_RS15020	hypothetical protein	
USA300HOU_RS04080-MONOMER	USA300HOU_RS04080	peptide chain release factor 2	
USA300HOU_RS05995-MONOMER	USA300HOU_RS05995	isoleucine--tRNA ligase	CCI-CYTOSOL-GP
USA300HOU_RS00770-MONOMER	USA300HOU_RS00770	hypothetical protein	
USA300HOU_RS02495-MONOMER	USA300HOU_RS02495	16S rRNA (cytidine(1402)-2'-O)-methyltransferase	CCI-CYTOSOL-GP
USA300HOU_RS04650-MONOMER	USA300HOU_RS04650	NAD(P)/FAD-dependent oxidoreductase	CCI-PM-BAC-POS-GP
USA300HOU_RS12060-MONOMER	USA300HOU_RS12060	50S ribosomal protein L36	CCI-CYTOSOL-GP // CCI-RIBOSOME-GP
USA300HOU_RS11545-MONOMER	USA300HOU_RS11545	purine-nucleoside phosphorylase	CCI-CYTOSOL-GP
USA300HOU_RS02640-MONOMER	USA300HOU_RS02640	dihydroneopterin aldolase	CCI-CYTOSOL-GP
USA300HOU_RS11725-MONOMER	USA300HOU_RS11725	hypothetical protein	
USA300HOU_RS12140-MONOMER	USA300HOU_RS12140	50S ribosomal protein L16	CCI-CYTOSOL-GP
USA300HOU_RS10320-MONOMER	USA300HOU_RS10320	Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase GatCAB subunit A	CCI-CYTOSOL-GP
USA300HOU_RS05550-MONOMER	USA300HOU_RS05550	hypothetical protein	CCI-CYTOSOL-GP
USA300HOU_RS12045-MONOMER	USA300HOU_RS12045	DNA-directed RNA polymerase subunit alpha	CCI-CYTOSOL-GP
USA300HOU_RS14915-MONOMER	USA300HOU_RS14915	thiolase-like protein	
USA300HOU_RS03085-MONOMER	USA300HOU_RS03085	mevalonate kinase	CCI-CYTOSOL-GP
USA300HOU_RS02775-MONOMER	USA300HOU_RS02775	PIN/TRAM domain-containing protein	
USA300HOU_RS15225-MONOMER	USA300HOU_RS15225	lactococcin 972 family bacteriocin	
USA300HOU_RS09830-MONOMER	USA300HOU_RS09830	hypothetical protein	CCI-PM-BAC-POS-GP
USA300HOU_RS06930-MONOMER	USA300HOU_RS06930	peptide-methionine (S)-S-oxide reductase	
USA300HOU_RS05250-MONOMER	USA300HOU_RS05250	DUF2538 domain-containing protein	
USA300HOU_RS13755-MONOMER	USA300HOU_RS13755	thioredoxin	CCI-CYTOSOL-GP
USA300HOU_RS11460-MONOMER	USA300HOU_RS11460	transcriptional regulator	CCI-CYTOSOL-GP
USA300HOU_RS06210-MONOMER	USA300HOU_RS06210	signal recognition particle-docking protein FtsY	CCI-PM-BAC-POS-GP
USA300HOU_RS04535-MONOMER	USA300HOU_RS04535	Fe-S cluster assembly protein SufB	CCI-CYTOSOL-GP
USA300HOU_RS13740-MONOMER	USA300HOU_RS13740	hypothetical protein	CCI-PM-BAC-POS-GP
USA300HOU_RS08560-MONOMER	USA300HOU_RS08560	acetyl-CoA carboxylase biotin carboxyl carrier protein subunit	
USA300HOU_RS05575-MONOMER	USA300HOU_RS05575	DUF420 domain-containing protein	CCI-PM-BAC-POS-GP
USA300HOU_RS05340-MONOMER	USA300HOU_RS05340	phosphoribosylglycinamide formyltransferase	CCI-CYTOSOL-GP
USA300HOU_RS08510-MONOMER	USA300HOU_RS08510	ribosome biogenesis GTPase YqeH	CCI-CYTOSOL-GP
USA300HOU_RS15550-MONOMER	USA300HOU_RS15550	hypothetical protein	
USA300HOU_RS09425-MONOMER	USA300HOU_RS09425	autolysin	CCI-EXTRACELLULAR-GP
USA300HOU_RS08320-MONOMER	USA300HOU_RS08320	Nif3-like dinuclear metal center hexameric protein	
USA300HOU_RS15080-MONOMER	USA300HOU_RS15080	hypothetical protein	
USA300HOU_RS10965-MONOMER	USA300HOU_RS10965	cyclic lactone autoinducer peptide	CCI-CYTOSOL-GP
USA300HOU_RS00210-MONOMER	USA300HOU_RS00210	hypothetical protein	CCI-EXTRACELLULAR-GP
USA300HOU_RS04655-MONOMER	USA300HOU_RS04655	DUF1450 domain-containing protein	CCI-CYTOSOL-GP
USA300HOU_RS04815-MONOMER	USA300HOU_RS04815	CoA-disulfide reductase	CCI-CYTOSOL-GP
USA300HOU_RS05480-MONOMER	USA300HOU_RS05480	XRE family transcriptional regulator	CCI-CYTOSOL-GP
USA300HOU_RS10105-MONOMER	USA300HOU_RS10105	thioredoxin-dependent thiol peroxidase	CCI-CW-BAC-POS-GP
USA300HOU_RS00820-MONOMER	USA300HOU_RS00820	KR domain-containing protein	CCI-CYTOSOL-GP
USA300HOU_RS00440-MONOMER	USA300HOU_RS00440	MBL fold metallo-hydrolase	CCI-CYTOSOL-GP
USA300HOU_RS01250-MONOMER	USA300HOU_RS01250	hypothetical protein	
USA300HOU_RS01675-MONOMER	USA300HOU_RS01675	N-acetylneuraminate lyase	CCI-CYTOSOL-GP
USA300HOU_RS01295-MONOMER	USA300HOU_RS01295	hypothetical protein	
