Proteins	Common-Name	Genes of polypeptide, complex, or RNA	Locations
ABAYE_RS10425-MONOMER	DUF159 family protein	ABAYE_RS10425	CCI-CYTOSOL-GN
ABAYE_RS11065-MONOMER	tautomerase family protein	ABAYE_RS11065	
ABAYE_RS00140-MONOMER	IS5 family transposase	ABAYE_RS00140	
ABAYE_RS12860-MONOMER	peroxiredoxin	ABAYE_RS12860	CCI-CYTOSOL-GN
ABAYE_RS06855-MONOMER	tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex transferase subunit TsaD	ABAYE_RS06855	CCI-EXTRACELLULAR-GN // CCI-CYTOSOL-GN
ABAYE_RS05345-MONOMER	nitronate monooxygenase	ABAYE_RS05345	
ABAYE_RS18760-MONOMER	polyketide cyclase	ABAYE_RS18760	CCI-CYTOSOL-GN
ABAYE_RS09390-MONOMER	efflux system DNA-binding response regulator AdeR	ABAYE_RS09390	CCI-CYTOSOL-GN
ABAYE_RS07105-MONOMER	hypothetical protein	ABAYE_RS07105	
ABAYE_RS04980-MONOMER	CSLREA domain-containing protein	ABAYE_RS04980	CCI-OUTER-MEM-GN
ABAYE_RS16735-MONOMER	Zn-dependent hydrolase	ABAYE_RS16735	CCI-CYTOSOL-GN
ABAYE_RS04725-MONOMER	peptide synthetase	ABAYE_RS04725	CCO-MEMBRANE
ABAYE_RS12650-MONOMER	hypothetical protein	ABAYE_RS12650	
ABAYE_RS16955-MONOMER	LysE family translocator	ABAYE_RS16955	CCI-PM-BAC-NEG-GN
ABAYE_RS02800-MONOMER	membrane protein	ABAYE_RS02800	CCI-PM-BAC-NEG-GN
ABAYE_RS04885-MONOMER	ABC transporter permease	ABAYE_RS04885	CCI-PM-BAC-NEG-GN
ABAYE_RS18995-MONOMER	TetR family transcriptional regulator	ABAYE_RS18995	CCI-CYTOSOL-GN
ABAYE_RS01155-MONOMER	hypothetical protein	ABAYE_RS01155	CCI-CYTOSOL-GN
ABAYE_RS16970-MONOMER	magnesium transporter	ABAYE_RS16970	CCI-PM-BAC-NEG-GN
ABAYE_RS03290-MONOMER	hypothetical protein	ABAYE_RS03290	
ABAYE_RS15890-MONOMER	enoyl-CoA hydratase	ABAYE_RS15890	CCI-CYTOSOL-GN
ABAYE_RS15285-MONOMER	ribonucleoside-diphosphate reductase subunit alpha	ABAYE_RS15285	CCI-CYTOSOL-GN
ABAYE_RS08040-MONOMER	acetyl-CoA carboxylase biotin carboxyl carrier protein	ABAYE_RS08040	CCI-CYTOSOL-GN
ABAYE_RS16485-MONOMER	thymidylate synthase	ABAYE_RS16485	CCI-CYTOSOL-GN
ABAYE_RS06640-MONOMER	hypothetical protein	ABAYE_RS06640	
ABAYE_RS03810-MONOMER	NADH:flavin oxidoreductase/NADH oxidase	ABAYE_RS03810	CCI-CYTOSOL-GN
ABAYE_RS09255-MONOMER	NUDIX domain-containing protein	ABAYE_RS09255	
ABAYE_RS12955-MONOMER	M23 family peptidase	ABAYE_RS12955	
ABAYE_RS15970-MONOMER	DNA-binding response regulator	ABAYE_RS15970	CCI-CYTOSOL-GN
ABAYE_RS00820-MONOMER	PQQ-dependent sugar dehydrogenase	ABAYE_RS00820	
ABAYE_RS02465-MONOMER	magnesium transporter	ABAYE_RS02465	CCI-PM-BAC-NEG-GN
ABAYE_RS15020-MONOMER	GntR family transcriptional regulator	ABAYE_RS15020	CCI-CYTOSOL-GN
ABAYE_RS01170-MONOMER	ureidoglycolate lyase	ABAYE_RS01170	CCI-CYTOSOL-GN
ABAYE_RS09595-MONOMER	S-(hydroxymethyl)glutathione dehydrogenase/class III alcohol dehydrogenase	ABAYE_RS09595	CCI-CYTOSOL-GN
ABAYE_RS11255-MONOMER	hypothetical protein	ABAYE_RS11255	CCI-CYTOSOL-GN
ABAYE_RS05780-MONOMER	BCCT family transporter	ABAYE_RS05780	CCI-PM-BAC-NEG-GN
ABAYE_RS13795-MONOMER	23S rRNA (pseudouridine(1915)-N(3))-methyltransferase RlmH	ABAYE_RS13795	CCI-CYTOSOL-GN
ABAYE_RS06190-MONOMER	MFS transporter	ABAYE_RS06190	CCI-PM-BAC-NEG-GN
ABAYE_RS11565-MONOMER	TetR/AcrR family transcriptional regulator	ABAYE_RS11565	CCI-CYTOSOL-GN
ABAYE_RS18090-MONOMER	trimethoprim-resistant dihydrofolate reductase DfrA1	ABAYE_RS18090	
ABAYE_RS01885-MONOMER	hypothetical protein	ABAYE_RS01885	CCI-PM-BAC-NEG-GN
ABAYE_RS12910-MONOMER	DUF2520 domain-containing protein	ABAYE_RS12910	
ABAYE_RS08345-MONOMER	serine proteinase	ABAYE_RS08345	
ABAYE_RS12640-MONOMER	hypothetical protein	ABAYE_RS12640	
ABAYE_RS10985-MONOMER	amino acid ABC transporter substrate-binding protein	ABAYE_RS10985	CCI-PERI-BAC-GN
ABAYE_RS03990-MONOMER	Bcr/CflA family drug resistance efflux transporter	ABAYE_RS03990	CCI-PM-BAC-NEG-GN
ABAYE_RS07270-MONOMER	50S ribosomal protein L11 methyltransferase	ABAYE_RS07270	CCI-CYTOSOL-GN
ABAYE_RS15525-MONOMER	hypothetical protein	ABAYE_RS15525	CCI-PM-BAC-NEG-GN
ABAYE_RS03475-MONOMER	hypothetical protein	ABAYE_RS03475	CCI-CYTOSOL-GN
CPLX1SOZ-39	predicted ABC transporter of sulfate	ABAYE_RS05140 // ABAYE_RS05145 // ABAYE_RS05150 // ABAYE_RS05160	
ABAYE_RS17715-MONOMER	hypothetical protein	ABAYE_RS17715	
ABAYE_RS03725-MONOMER	quaternary ammonium transporter	ABAYE_RS03725	CCI-PM-BAC-NEG-GN
ABAYE_RS19935-MONOMER	hypothetical protein	ABAYE_RS19935	
ABAYE_RS06225-MONOMER	AraC family transcriptional regulator	ABAYE_RS06225	CCI-CYTOSOL-GN
ABAYE_RS03445-MONOMER	glycosyl transferase	ABAYE_RS03445	CCI-CYTOSOL-GN
ABAYE_RS06390-MONOMER	DUF4010 domain-containing protein	ABAYE_RS06390	CCI-PM-BAC-NEG-GN
ABAYE_RS07745-MONOMER	fimbrial biogenesis outer membrane usher protein	ABAYE_RS07745	CCI-OUTER-MEM-GN
ABAYE_RS16400-MONOMER	non-canonical purine NTP pyrophosphatase	ABAYE_RS16400	CCI-CYTOSOL-GN
ABAYE_RS06990-MONOMER	aldo/keto reductase	ABAYE_RS06990	CCI-CYTOSOL-GN
ABAYE_RS13920-MONOMER	hypothetical protein	ABAYE_RS13920	CCI-CYTOSOL-GN
ABAYE_RS09070-MONOMER	potassium transporter	ABAYE_RS09070	CCI-PM-BAC-NEG-GN
ABAYE_RS13440-MONOMER	cold-shock protein	ABAYE_RS13440	CCI-CYTOSOL-GN
ABAYE_RS18070-MONOMER	chloramphenicol/florfenicol efflux MFS transporter FloR	ABAYE_RS18070	CCO-MEMBRANE
ABAYE_RS06495-MONOMER	peroxide stress protein YaaA	ABAYE_RS06495	CCI-CYTOSOL-GN
ABAYE_RS10965-MONOMER	hypothetical protein	ABAYE_RS10965	CCI-OUTER-MEM-GN
ABAYE_RS03135-MONOMER	bifunctional tRNA (5-methylaminomethyl-2-thiouridine)(34)-methyltransferase MnmD/FAD-dependent 5-carboxymethylaminomethyl-2-thiouridine(34) oxidoreductase MnmC	ABAYE_RS03135	CCI-CYTOSOL-GN
ABAYE_RS02850-MONOMER	hypothetical protein	ABAYE_RS02850	
ABAYE_RS00410-MONOMER	hypothetical protein	ABAYE_RS00410	
ABAYE_RS16235-MONOMER	histidine--tRNA ligase	ABAYE_RS16235	CCI-CYTOSOL-GN
ABAYE_RS19235-MONOMER	TerC family protein	ABAYE_RS19235	CCI-PM-BAC-NEG-GN
ABAYE_RS00670-MONOMER	16S rRNA (cytosine(967)-C(5))-methyltransferase RsmB	ABAYE_RS00670	CCI-CYTOSOL-GN
ABAYE_RS12545-MONOMER	hypothetical protein	ABAYE_RS12545	CCI-PM-BAC-NEG-GN
ABAYE_RS04430-MONOMER	succinate dehydrogenase iron-sulfur subunit	ABAYE_RS04430	CCI-PM-BAC-NEG-GN
ABAYE_RS03285-MONOMER	hypothetical protein	ABAYE_RS03285	CCI-CYTOSOL-GN
ABAYE_RS08555-MONOMER	phospholipase	ABAYE_RS08555	CCI-OUTER-MEM-GN
ABAYE_RS10250-MONOMER	IucA/IucC family siderophore biosynthesis protein	ABAYE_RS10250	CCI-CYTOSOL-GN
ABAYE_RS07310-MONOMER	alanine racemase	ABAYE_RS07310	CCI-CYTOSOL-GN
ABAYE_RS18265-MONOMER	trimeric intracellular cation channel family protein	ABAYE_RS18265	CCI-PM-BAC-NEG-GN
ABAYE_RS03735-MONOMER	acetyl-CoA C-acyltransferase	ABAYE_RS03735	CCI-CYTOSOL-GN
ABAYE_RS08325-MONOMER	Lrp/AsnC family transcriptional regulator	ABAYE_RS08325	CCI-CYTOSOL-GN
ABAYE_RS17610-MONOMER	LPS export ABC transporter permease LptF	ABAYE_RS17610	CCI-PM-BAC-NEG-GN
ABAYE_RS02295-MONOMER	succinylarginine dihydrolase	ABAYE_RS02295	CCI-CYTOSOL-GN
ABAYE_RS16520-MONOMER	formyltetrahydrofolate deformylase	ABAYE_RS16520	CCI-CYTOSOL-GN
ABAYE_RS14205-MONOMER	non-heme iron oxygenase ferredoxin subunit	ABAYE_RS14205	CCI-CYTOSOL-GN
ABAYE_RS08035-MONOMER	acetyl-CoA carboxylase biotin carboxylase subunit	ABAYE_RS08035	CCI-CYTOSOL-GN
ABAYE_RS06490-MONOMER	hydrolase	ABAYE_RS06490	CCI-CYTOSOL-GN
ABAYE_RS12110-MONOMER	type VI secretion system baseplate subunit TssK	ABAYE_RS12110	CCI-CYTOSOL-GN
ABAYE_RS06870-MONOMER	DUF3336 domain-containing protein	ABAYE_RS06870	CCI-CYTOSOL-GN
ABAYE_RS11915-MONOMER	PaaI family thioesterase	ABAYE_RS11915	
ABAYE_RS15160-MONOMER	hypothetical protein	ABAYE_RS15160	CCI-PM-BAC-NEG-GN
ABAYE_RS00325-MONOMER	hypothetical protein	ABAYE_RS00325	CCO-MEMBRANE
ABAYE_RS07520-MONOMER	glutamine synthetase	ABAYE_RS07520	CCI-CYTOSOL-GN
ABAYE_RS14585-MONOMER	DNA helicase Rep	ABAYE_RS14585	CCI-CYTOSOL-GN
ABAYE_RS08780-MONOMER	LysR family transcriptional regulator	ABAYE_RS08780	CCI-CYTOSOL-GN
ABAYE_RS00095-MONOMER	hypothetical protein	ABAYE_RS00095	
ABAYE_RS17555-MONOMER	site-specific tyrosine recombinase XerD	ABAYE_RS17555	CCI-CYTOSOL-GN
ABAYE_RS11630-MONOMER	3-oxoadipate CoA-transferase subunit B	ABAYE_RS11630	CCI-CYTOSOL-GN
ABAYE_RS11505-MONOMER	damage-inducible protein CinA	ABAYE_RS11505	CCI-CYTOSOL-GN
ABAYE_RS05310-MONOMER	hypothetical protein	ABAYE_RS05310	
ABAYE_RS03590-MONOMER	DUF1543 domain-containing protein	ABAYE_RS03590	
ABAYE_RS01095-MONOMER	pyridoxal phosphate-dependent aminotransferase	ABAYE_RS01095	CCI-CYTOSOL-GN
ABAYE_RS12195-MONOMER	ABC transporter ATP-binding protein	ABAYE_RS12195	CCI-PM-BAC-NEG-GN
ABAYE_RS17985-MONOMER	NAD(+)--rifampin ADP-ribosyltransferase Arr-2	ABAYE_RS17985	CCI-CYTOSOL-GN
ABAYE_RS13755-MONOMER	hypothetical protein	ABAYE_RS13755	
ABAYE_RS01250-MONOMER	exodeoxyribonuclease III	ABAYE_RS01250	CCI-CYTOSOL-GN
ABAYE_RS07405-MONOMER	hypothetical protein	ABAYE_RS07405	
ABAYE_RS11045-MONOMER	hypothetical protein	ABAYE_RS11045	
ABAYE_RS09740-MONOMER	anthranilate 1,2-dioxygenase small subunit	ABAYE_RS09740	
ABAYE_RS12730-MONOMER	hypothetical protein	ABAYE_RS12730	CCI-CYTOSOL-GN
ABAYE_RS13345-MONOMER	NAD(+) diphosphatase	ABAYE_RS13345	CCI-CYTOSOL-GN
ABAYE_RS16005-MONOMER	hypothetical protein	ABAYE_RS16005	
ABAYE_RS14320-MONOMER	amino acid permease	ABAYE_RS14320	CCI-PM-BAC-NEG-GN
ABAYE_RS05835-MONOMER	TetR/AcrR family transcriptional regulator	ABAYE_RS05835	CCI-CYTOSOL-GN
ABAYE_RS13825-MONOMER	adenylate kinase	ABAYE_RS13825	CCI-CYTOSOL-GN
ABAYE_RS02805-MONOMER	NAD(P)H:quinone oxidoreductase	ABAYE_RS02805	
ABAYE_RS14815-MONOMER	DNA primase	ABAYE_RS14815	CCI-CYTOSOL-GN
ABAYE_RS20020-MONOMER	IS91 family transposase	ABAYE_RS20020	
ABAYE_RS13960-MONOMER	rubredoxin	ABAYE_RS13960	CCI-CYTOSOL-GN
ABAYE_RS11730-MONOMER	sulfate ABC transporter ATP-binding protein	ABAYE_RS11730	CCI-PM-BAC-NEG-GN
CPLX-9286	diaminobutyrate&mdash;2-oxoglutarate transaminase	ABAYE_RS05585	
ABAYE_RS02375-MONOMER	DNA metabolism protein	ABAYE_RS02375	CCI-CYTOSOL-GN
ABAYE_RS13390-MONOMER	MerR family DNA-binding transcriptional regulator	ABAYE_RS13390	CCI-CYTOSOL-GN
ABAYE_RS05750-MONOMER	carbon starvation protein A	ABAYE_RS05750	CCI-PM-BAC-NEG-GN
ABAYE_RS00990-MONOMER	glutamine--fructose-6-phosphate transaminase (isomerizing)	ABAYE_RS00990	CCI-CYTOSOL-GN
ABAYE_RS04905-MONOMER	3-phosphoserine/phosphohydroxythreonine aminotransferase	ABAYE_RS04905	CCI-CYTOSOL-GN
ABAYE_RS14285-MONOMER	BCCT family transporter	ABAYE_RS14285	CCI-PM-BAC-NEG-GN
ABAYE_RS08240-MONOMER	CDP-archaeol synthase	ABAYE_RS08240	CCI-PM-BAC-NEG-GN
ABAYE_RS07920-MONOMER	LysR family transcriptional regulator	ABAYE_RS07920	CCI-CYTOSOL-GN
ABAYE_RS18430-MONOMER	MFS transporter	ABAYE_RS18430	CCI-PM-BAC-NEG-GN
ABAYE_RS05025-MONOMER	cell envelope integrity protein TolA	ABAYE_RS05025	CCO-MEMBRANE
ABAYE_RS10685-MONOMER	septum formation protein Maf	ABAYE_RS10685	CCI-CYTOSOL-GN
ABAYE_RS11295-MONOMER	malonate decarboxylase subunit epsilon	ABAYE_RS11295	CCI-CYTOSOL-GN
ABAYE_RS10630-MONOMER	chromosome partitioning protein	ABAYE_RS10630	CCI-CYTOSOL-GN
ABAYE_RS00420-MONOMER	hypothetical protein	ABAYE_RS00420	
ABAYE_RS05790-MONOMER	aldehyde dehydrogenase	ABAYE_RS05790	CCI-CYTOSOL-GN
ABAYE_RS02310-MONOMER	hypothetical protein	ABAYE_RS02310	
ABAYE_RS01330-MONOMER	hypothetical protein	ABAYE_RS01330	CCI-PM-BAC-NEG-GN
ABAYE_RS16220-MONOMER	ribosome biogenesis GTPase Der	ABAYE_RS16220	CCI-PM-BAC-NEG-GN
ABAYE_RS15045-MONOMER	cytochrome c assembly protein	ABAYE_RS15045	CCI-PM-BAC-NEG-GN
ABAYE_RS19970-MONOMER	cysteine hydrolase	ABAYE_RS19970	
ABAYE_RS12735-MONOMER	hypothetical protein	ABAYE_RS12735	CCI-PM-BAC-NEG-GN
ABAYE_RS06750-MONOMER	lytic transglycosylase domain-containing protein	ABAYE_RS06750	
ABAYE_RS18895-MONOMER	glycosyltransferase family 1 protein	ABAYE_RS18895	CCI-CYTOSOL-GN
ABAYE_RS12330-MONOMER	type IV secretion protein Rhs	ABAYE_RS12330	
ABAYE_RS12270-MONOMER	hypothetical protein	ABAYE_RS12270	CCI-PM-BAC-NEG-GN
ABAYE_RS09265-MONOMER	LuxR family transcriptional regulator	ABAYE_RS09265	CCI-CYTOSOL-GN
ABAYE_RS09770-MONOMER	NAD(P)-dependent oxidoreductase	ABAYE_RS09770	CCI-CYTOSOL-GN
ABAYE_RS18325-MONOMER	DUF2938 domain-containing protein	ABAYE_RS18325	CCI-PM-BAC-NEG-GN
ABAYE_RS08455-MONOMER	CBS domain-containing protein	ABAYE_RS08455	CCI-CYTOSOL-GN
ABAYE_RS04910-MONOMER	hypothetical protein	ABAYE_RS04910	
ABAYE_RS09130-MONOMER	DUF2314 domain-containing protein	ABAYE_RS09130	
ABAYE_RS10350-MONOMER	co-chaperone protein HscB	ABAYE_RS10350	CCI-CYTOSOL-GN
ABAYE_RS00890-MONOMER	maleylacetoacetate isomerase	ABAYE_RS00890	CCI-CYTOSOL-GN
ABAYE_RS14005-MONOMER	ABC transporter ATP-binding protein	ABAYE_RS14005	CCI-PM-BAC-NEG-GN
ABAYE_RS07170-MONOMER	DNA-binding response regulator	ABAYE_RS07170	CCI-CYTOSOL-GN
ABAYE_RS08860-MONOMER	flavin reductase	ABAYE_RS08860	
ABAYE_RS17210-MONOMER	methylated-DNA--protein-cysteine methyltransferase	ABAYE_RS17210	CCI-CYTOSOL-GN
ABAYE_RS12875-MONOMER	DUF1653 domain-containing protein	ABAYE_RS12875	
ABAYE_RS16165-MONOMER	MacA family efflux pump subunit	ABAYE_RS16165	CCI-PM-BAC-NEG-GN
ABAYE_RS12925-MONOMER	aspartate carbamoyltransferase	ABAYE_RS12925	CCI-CYTOSOL-GN
ABAYE_RS16720-MONOMER	RNA pyrophosphohydrolase	ABAYE_RS16720	CCI-CYTOSOL-GN
ABAYE_RS16865-MONOMER	DNA gyrase inhibitor YacG	ABAYE_RS16865	
ABAYE_RS10435-MONOMER	ABC transporter permease	ABAYE_RS10435	CCI-PM-BAC-NEG-GN
ABAYE_RS10365-MONOMER	guanylate cyclase	ABAYE_RS10365	CCI-PM-BAC-NEG-GN
ABAYE_RS16290-MONOMER	hypothetical protein	ABAYE_RS16290	CCI-CYTOSOL-GN
ABAYE_RS04625-MONOMER	glycerol-3-phosphate dehydrogenase	ABAYE_RS04625	CCI-CYTOSOL-GN
ABAYE_RS16630-MONOMER	glutamate/aspartate:proton symporter GltP	ABAYE_RS16630	CCI-PM-BAC-NEG-GN
ABAYE_RS03440-MONOMER	nucleoside-diphosphate sugar epimerase	ABAYE_RS03440	
ABAYE_RS01940-MONOMER	ribosomal RNA small subunit methyltransferase H	ABAYE_RS01940	CCI-CYTOSOL-GN
ABAYE_RS13320-MONOMER	microcin C ABC transporter permease YejB	ABAYE_RS13320	CCI-PM-BAC-NEG-GN
ABAYE_RS14535-MONOMER	ferric iron uptake transcriptional regulator	ABAYE_RS14535	CCI-CYTOSOL-GN
ABAYE_RS14965-MONOMER	malonyl-[acyl-carrier protein] O-methyltransferase BioC	ABAYE_RS14965	
ABAYE_RS10020-MONOMER	tryptophan synthase subunit beta	ABAYE_RS10020	CCI-CYTOSOL-GN
ABAYE_RS15685-MONOMER	type II secretion system protein GspE	ABAYE_RS15685	CCI-CYTOSOL-GN
ABAYE_RS11635-MONOMER	3-oxoadipate CoA-transferase subunit A	ABAYE_RS11635	CCI-CYTOSOL-GN
ABAYE_RS18185-MONOMER	hypothetical protein	ABAYE_RS18185	CCI-CYTOSOL-GN
ABAYE_RS04660-MONOMER	diacylglycerol kinase	ABAYE_RS04660	CCI-PM-BAC-NEG-GN
ABAYE_RS05385-MONOMER	hypothetical protein	ABAYE_RS05385	CCI-PM-BAC-NEG-GN
ABAYE_RS00975-MONOMER	DNA (cytosine-5-)-methyltransferase	ABAYE_RS00975	CCI-CYTOSOL-GN
ABAYE_RS01460-MONOMER	cation acetate symporter	ABAYE_RS01460	CCI-PM-BAC-NEG-GN
ABAYE_RS07055-MONOMER	hypothetical protein	ABAYE_RS07055	CCI-CYTOSOL-GN
ABAYE_RS04180-MONOMER	NfeD family protein	ABAYE_RS04180	CCI-PM-BAC-NEG-GN
ABAYE_RS14945-MONOMER	serine protease	ABAYE_RS14945	CCI-CYTOSOL-GN
ABAYE_RS11675-MONOMER	MFS transporter	ABAYE_RS11675	CCI-PM-BAC-NEG-GN
ABAYE_RS00055-MONOMER	BrnT family toxin	ABAYE_RS00055	
ABAYE_RS16610-MONOMER	ABC transporter ATP-binding protein	ABAYE_RS16610	CCI-CYTOSOL-GN
ABAYE_RS18695-MONOMER	acyl-CoA dehydrogenase	ABAYE_RS18695	CCI-CYTOSOL-GN
ABAYE_RS18150-MONOMER	transcriptional regulator	ABAYE_RS18150	
ABAYE_RS18625-MONOMER	phosphopantetheine-protein transferase	ABAYE_RS18625	CCI-CYTOSOL-GN
ABAYE_RS02385-MONOMER	PspC domain-containing protein	ABAYE_RS02385	CCI-PM-BAC-NEG-GN
CPLX1SOZ-36	predicted ABC transporter of a sulfonate	ABAYE_RS19040 // ABAYE_RS19045	
ABAYE_RS13850-MONOMER	urease accessory protein	ABAYE_RS13850	CCI-PM-BAC-NEG-GN
ABAYE_RS02150-MONOMER	50S ribosomal protein L19	ABAYE_RS02150	CCI-CYTOSOL-GN // CCI-RIBOSOME-GN
ABAYE_RS01815-MONOMER	two-component sensor histidine kinase	ABAYE_RS01815	CCI-PM-BAC-NEG-GN
ABAYE_RS06240-MONOMER	DUF962 domain-containing protein	ABAYE_RS06240	CCI-PM-BAC-NEG-GN
ABAYE_RS10565-MONOMER	general secretion pathway protein GspK	ABAYE_RS10565	CCI-PM-BAC-NEG-GN
ABAYE_RS06155-MONOMER	adenosylhomocysteinase	ABAYE_RS06155	CCI-CYTOSOL-GN
ABAYE_RS08290-MONOMER	DNA recombination/repair protein RecA	ABAYE_RS08290	CCI-CYTOSOL-GN
ABAYE_RS09200-MONOMER	MFS transporter	ABAYE_RS09200	CCI-PM-BAC-NEG-GN
ABAYE_RS05920-MONOMER	2,3-dihydroxybenzoate-AMP ligase	ABAYE_RS05920	CCI-CYTOSOL-GN
ABAYE_RS09155-MONOMER	hydrolase	ABAYE_RS09155	
ABAYE_RS19170-MONOMER	LysR family transcriptional regulator	ABAYE_RS19170	CCI-CYTOSOL-GN
ABAYE_RS18830-MONOMER	aspartate/tyrosine/aromatic aminotransferase	ABAYE_RS18830	CCI-CYTOSOL-GN
ABAYE_RS10150-MONOMER	TonB-dependent siderophore receptor	ABAYE_RS10150	CCI-OUTER-MEM-GN
ABAYE_RS13420-MONOMER	hypothetical protein	ABAYE_RS13420	CCI-CYTOSOL-GN
ABAYE_RS15735-MONOMER	thioredoxin	ABAYE_RS15735	CCI-CYTOSOL-GN
ABAYE_RS07715-MONOMER	hydroxyethylthiazole kinase	ABAYE_RS07715	
ABAYE_RS14270-MONOMER	acyl-CoA thioesterase	ABAYE_RS14270	CCI-CYTOSOL-GN
ABAYE_RS15130-MONOMER	MFS transporter	ABAYE_RS15130	CCI-PM-BAC-NEG-GN
ABAYE_RS08935-MONOMER	FadR family transcriptional regulator	ABAYE_RS08935	CCI-CYTOSOL-GN
ABAYE_RS09445-MONOMER	DNA replication protein	ABAYE_RS09445	
ABAYE_RS13205-MONOMER	hypothetical protein	ABAYE_RS13205	CCI-PM-BAC-NEG-GN
ABAYE_RS08625-MONOMER	PadR family transcriptional regulator	ABAYE_RS08625	CCI-CYTOSOL-GN
ABAYE_RS09900-MONOMER	GntR family transcriptional regulator	ABAYE_RS09900	CCI-CYTOSOL-GN
ABAYE_RS08895-MONOMER	3-oxoadipyl-CoA thiolase	ABAYE_RS08895	CCI-CYTOSOL-GN
ABAYE_RS03045-MONOMER	GGDEF domain-containing protein	ABAYE_RS03045	CCI-PM-BAC-NEG-GN
ABAYE_RS14430-MONOMER	hypothetical protein	ABAYE_RS14430	
ABAYE_RS14910-MONOMER	acyl carrier protein	ABAYE_RS14910	CCI-CYTOSOL-GN
ABAYE_RS18765-MONOMER	ribonuclease E inhibitor RraB	ABAYE_RS18765	
ABAYE_RS12605-MONOMER	DUF2158 domain-containing protein	ABAYE_RS12605	
ABAYE_RS17920-MONOMER	mercury resistance protein	ABAYE_RS17920	CCI-PM-BAC-NEG-GN
ABAYE_RS02740-MONOMER	ribonuclease R	ABAYE_RS02740	
ABAYE_RS04975-MONOMER	rhombotarget A	ABAYE_RS04975	
ABAYE_RS08745-MONOMER	carbohydrate porin	ABAYE_RS08745	CCI-OUTER-MEM-GN
ABAYE_RS06820-MONOMER	amidophosphoribosyltransferase	ABAYE_RS06820	CCI-CYTOSOL-GN
ABAYE_RS08910-MONOMER	catechol 1,2-dioxygenase	ABAYE_RS08910	CCI-CYTOSOL-GN
ABAYE_RS17690-MONOMER	ISL3 family transposase	ABAYE_RS17690	CCI-CYTOSOL-GN
ABAYE_RS00405-MONOMER	hypothetical protein	ABAYE_RS00405	
ABAYE_RS09680-MONOMER	pyrroloquinoline quinone biosynthesis protein C	ABAYE_RS09680	CCI-CYTOSOL-GN
ABAYE_RS11380-MONOMER	KR domain-containing protein	ABAYE_RS11380	CCI-CYTOSOL-GN
ABAYE_RS09025-MONOMER	acetoacetate decarboxylase	ABAYE_RS09025	CCI-CYTOSOL-GN
ABAYE_RS09870-MONOMER	photosystem I reaction center subunit VIII	ABAYE_RS09870	CCI-CYTOSOL-GN
ABAYE_RS06200-MONOMER	OmpW family protein	ABAYE_RS06200	CCO-MEMBRANE
ABAYE_RS06205-MONOMER	type I methionyl aminopeptidase	ABAYE_RS06205	CCI-CYTOSOL-GN
ABAYE_RS09560-MONOMER	hypothetical protein	ABAYE_RS09560	
ABAYE_RS05595-MONOMER	aldehyde dehydrogenase	ABAYE_RS05595	
ABAYE_RS00780-MONOMER	DNA-3-methyladenine glycosylase I	ABAYE_RS00780	
ABAYE_RS04840-MONOMER	LysE family translocator	ABAYE_RS04840	CCI-PM-BAC-NEG-GN
ABAYE_RS13900-MONOMER	isocitrate lyase	ABAYE_RS13900	CCI-CYTOSOL-GN
ABAYE_RS14235-MONOMER	poly-beta-1,6 N-acetyl-D-glucosamine synthase	ABAYE_RS14235	CCI-PM-BAC-NEG-GN
ABAYE_RS03355-MONOMER	baseplate assembly protein	ABAYE_RS03355	
ABAYE_RS12710-MONOMER	pyrroline-5-carboxylate reductase	ABAYE_RS12710	CCI-CYTOSOL-GN
ABAYE_RS02600-MONOMER	30S ribosomal protein S17	ABAYE_RS02600	CCI-CYTOSOL-GN // CCI-RIBOSOME-GN
ABAYE_RS13000-MONOMER	type I glyceraldehyde-3-phosphate dehydrogenase	ABAYE_RS13000	CCI-CYTOSOL-GN
ABAYE_RS11075-MONOMER	bifunctional uridylyltransferase/uridylyl-removing protein	ABAYE_RS11075	CCI-CYTOSOL-GN
ABAYE_RS03680-MONOMER	hypothetical protein	ABAYE_RS03680	CCI-PM-BAC-NEG-GN
ABAYE_RS03390-MONOMER	tail protein X	ABAYE_RS03390	
ABAYE_RS13055-MONOMER	KR domain-containing protein	ABAYE_RS13055	CCI-CYTOSOL-GN
ABAYE_RS15510-MONOMER	ribulose-phosphate 3-epimerase	ABAYE_RS15510	CCI-CYTOSOL-GN
ABAYE_RS17095-MONOMER	transcription termination/antitermination protein NusA	ABAYE_RS17095	CCI-CYTOSOL-GN
ABAYE_RS07955-MONOMER	methyl viologen resistance protein SmvA	ABAYE_RS07955	CCI-PM-BAC-NEG-GN
ABAYE_RS03020-MONOMER	GTPase HflX	ABAYE_RS03020	CCI-CYTOSOL-GN
ABAYE_RS04865-MONOMER	glycosyltransferase family 39 protein	ABAYE_RS04865	CCI-PM-BAC-NEG-GN
ABAYE_RS17445-MONOMER	hypothetical protein	ABAYE_RS17445	CCI-PM-BAC-NEG-GN
ABAYE_RS13115-MONOMER	GMC family oxidoreductase	ABAYE_RS13115	CCI-PM-BAC-NEG-GN
ABAYE_RS03585-MONOMER	tryptophan synthase subunit beta	ABAYE_RS03585	CCI-CYTOSOL-GN
ABAYE_RS16915-MONOMER	apolipoprotein N-acyltransferase	ABAYE_RS16915	CCI-PM-BAC-NEG-GN
